"Record","Value"
"line","Event: V3 complete local rehearsal 2026-09-09T09:36:03.462Z"
"line","Match: Quick Match - six speakers and one neutral judge"
"line","Rules version: 2"
"line","Result version: 1 (623ec31c-c75d-465b-9b04-ff01095f97a2)"
"paragraph","REHEARSAL - this record is excluded from real competition standings."
"heading","Final result"
"line","Official winner: Affirmative"
"line","Conclusion: Normal"
"line","Decision method: majority"
"line","Affirmative ballots: 1"
"line","Negative ballots: 0"
"line","Affirmative panel average: 100.00"
"line","Negative panel average: 92.00"
"line","Motion: This house would publish open learning materials."
"line","Published: Sep 9, 2026, 6:54 PM"
"line","Finalized: Sep 9, 2026, 7:09 PM"
"heading","Speech awards"
"heading","Best Speaker"
"line","Status: COAWARD"
"line","Shared recipients: A1 - Affirmative 1 / captain (local rehearsal); A2 - Affirmative 2 (local rehearsal); A3 - Affirmative 3 (local rehearsal)"
"paragraph","Mean normalized individual subtotal, excluding closing."
"heading","Best Interpellator"
"line","Status: COAWARD"
"line","Shared recipients: A1 - Affirmative 1 / captain (local rehearsal); A2 - Affirmative 2 (local rehearsal); A3 - Affirmative 3 (local rehearsal); N1 - Negative 1 / captain (local rehearsal); N2 - Negative 2 (local rehearsal); N3 - Negative 3 (local rehearsal)"
"paragraph","Mean normalized questioning score; responding is separate."
"heading","Best Rebuttalist"
"line","Status: AWARDED"
"line","Recipient: A1 - Affirmative 1 / captain (local rehearsal)"
"paragraph","Mean normalized closing score among actual closing speakers."
"heading","Best Debater"
"line","Status: AWARDED"
"line","Recipient: A2 - Affirmative 2 (local rehearsal)"
"heading","Audience Choice"
"paragraph","Audience Choice is a separate audience result. It does not change this official decision or award eligibility."
"line","Audience result: Negative"
"line","Affirmative: 0 votes (0% of valid votes)"
"line","Negative: 1 votes (100% of valid votes)"
"line","Turnout: 1 / 1 eligible observers (100%)"
"line","Invalidated votes: 0"
